epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,494.553,0.38508,0.53282,0.2566,0.85178,0.97306,0.99095,0.99298,0.90802,0.97306,0.99095,0.99298,0.88872,0.48078,0.77966,0.25013,0.8865,0.000330078,0.000330078,0.000330078
73,501.229,0.3782,0.53267,0.26007,0.83825,0.96577,0.9922,0.99058,0.9007,0.96577,0.9922,0.99058,0.88411,0.48353,0.76054,0.25435,0.88638,0.000319079,0.000319079,0.000319079
74,507.358,0.3774,0.5386,0.25845,0.84942,0.97253,0.98144,0.99267,0.90482,0.97253,0.98144,0.99267,0.88607,0.48416,0.76374,0.25605,0.88935,0.00030808,0.00030808,0.00030808
75,513.367,0.37608,0.53638,0.25099,0.84271,0.97734,0.98061,0.99356,0.90353,0.97734,0.98061,0.99356,0.88635,0.49402,0.76649,0.26134,0.89491,0.000297081,0.000297081,0.000297081
76,519.544,0.38574,0.55487,0.25558,0.84881,0.97402,0.98762,0.99414,0.90477,0.97402,0.98762,0.99414,0.88789,0.48585,0.75758,0.2519,0.89389,0.000286083,0.000286083,0.000286083
77,525.56,0.37516,0.53852,0.256,0.84712,0.97488,0.98846,0.9929,0.90507,0.97488,0.98846,0.9929,0.88354,0.48416,0.76155,0.24728,0.8923,0.000275084,0.000275084,0.000275084
78,531.566,0.37046,0.5316,0.2543,0.83562,0.97219,0.9887,0.99349,0.90645,0.97219,0.9887,0.99349,0.88844,0.48507,0.7643,0.24651,0.8932,0.000264085,0.000264085,0.000264085
79,537.598,0.36561,0.53132,0.25132,0.84389,0.9711,0.98871,0.99401,0.90646,0.9711,0.98871,0.99401,0.88504,0.47866,0.79123,0.24179,0.88683,0.000253086,0.000253086,0.000253086
80,543.59,0.34922,0.49819,0.23905,0.83472,0.97424,0.98822,0.99408,0.90719,0.97424,0.98822,0.99408,0.89134,0.47597,0.79447,0.24699,0.88543,0.000242087,0.000242087,0.000242087
81,549.556,0.35697,0.52059,0.24118,0.83711,0.97671,0.98663,0.99383,0.90726,0.97671,0.98663,0.99383,0.89189,0.47667,0.78058,0.24694,0.88509,0.000231088,0.000231088,0.000231088
82,556.219,0.36474,0.51778,0.24825,0.84314,0.97103,0.98749,0.99362,0.90455,0.97103,0.98749,0.99362,0.89264,0.47564,0.75377,0.24576,0.88294,0.000220089,0.000220089,0.000220089
83,563.524,0.3696,0.53512,0.24858,0.84045,0.97268,0.98597,0.9927,0.90688,0.97268,0.98597,0.9927,0.88902,0.47123,0.74752,0.24165,0.88111,0.00020909,0.00020909,0.00020909
84,572.912,0.3576,0.51388,0.24345,0.83921,0.97353,0.98533,0.99324,0.90842,0.97353,0.98533,0.99324,0.88886,0.46811,0.75192,0.24655,0.87997,0.000198091,0.000198091,0.000198091
85,581.512,0.35318,0.50941,0.245,0.83306,0.97329,0.98385,0.99311,0.91345,0.97329,0.98385,0.99389,0.88955,0.46761,0.75127,0.248,0.88145,0.000187092,0.000187092,0.000187092
86,590.487,0.35856,0.51369,0.24161,0.83154,0.97958,0.97714,0.99295,0.91232,0.97958,0.97714,0.99371,0.88875,0.47012,0.7639,0.24923,0.88184,0.000176094,0.000176094,0.000176094
87,599.252,0.35067,0.51457,0.23695,0.83834,0.98062,0.97781,0.99359,0.91103,0.98062,0.97781,0.99382,0.89195,0.46194,0.77289,0.24509,0.87925,0.000165095,0.000165095,0.000165095
