epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,503.31,0.04984,0.05826,0.17283,0.79051,0.98344,0.9884,0.99288,0.96624,0.98344,0.9884,0.99288,0.90322,0.05393,0.06735,0.17866,0.81191,0.000845714,0.000845714,0.000845714
62,511.697,0.05031,0.05801,0.17184,0.79589,0.983,0.9911,0.99337,0.96424,0.983,0.9911,0.99337,0.89334,0.05482,0.06968,0.18695,0.81435,0.000843143,0.000843143,0.000843143
63,519.874,0.04923,0.05738,0.16874,0.79327,0.97852,0.99341,0.99256,0.96123,0.97852,0.99341,0.99256,0.89969,0.05523,0.068,0.19013,0.81726,0.000840571,0.000840571,0.000840571
64,528.057,0.05002,0.05763,0.17152,0.79524,0.97961,0.98862,0.9922,0.96256,0.97961,0.98862,0.9922,0.90062,0.05441,0.06643,0.1848,0.81645,0.000838,0.000838,0.000838
65,536.253,0.05023,0.05771,0.1706,0.79479,0.98168,0.98807,0.99229,0.96073,0.98168,0.98807,0.99229,0.89644,0.05714,0.0669,0.18994,0.81784,0.000835429,0.000835429,0.000835429
66,544.441,0.04986,0.05805,0.17201,0.79413,0.98179,0.98712,0.9925,0.96012,0.98179,0.98712,0.9925,0.89858,0.05745,0.07003,0.19149,0.81661,0.000832857,0.000832857,0.000832857
67,552.677,0.04994,0.05729,0.17075,0.79352,0.9838,0.98889,0.99247,0.96212,0.9838,0.98889,0.99247,0.89692,0.05481,0.06786,0.18523,0.81536,0.000830286,0.000830286,0.000830286
68,560.833,0.04934,0.05743,0.16874,0.79372,0.98579,0.98768,0.99173,0.96355,0.98579,0.98768,0.99173,0.89604,0.05331,0.06574,0.18394,0.81279,0.000827714,0.000827714,0.000827714
69,569.038,0.04852,0.05759,0.16542,0.79168,0.98449,0.99268,0.99251,0.96477,0.98449,0.99268,0.99251,0.90784,0.0528,0.06653,0.17387,0.81194,0.000825143,0.000825143,0.000825143
70,577.406,0.0485,0.05619,0.16562,0.79037,0.98278,0.9939,0.99326,0.96492,0.98278,0.9939,0.99324,0.9052,0.0535,0.06649,0.17799,0.81093,0.000822571,0.000822571,0.000822571
71,585.624,0.04798,0.05561,0.16498,0.79353,0.98433,0.99309,0.99368,0.96277,0.98433,0.99309,0.99367,0.90365,0.05368,0.06525,0.17391,0.81426,0.00082,0.00082,0.00082
72,593.845,0.04868,0.05621,0.16496,0.7892,0.98334,0.99369,0.99335,0.96487,0.98334,0.99369,0.99335,0.90255,0.0547,0.06555,0.17734,0.81416,0.000817429,0.000817429,0.000817429
73,602.044,0.04893,0.05538,0.1662,0.79125,0.98794,0.98866,0.99285,0.9647,0.98794,0.98866,0.99285,0.90464,0.05531,0.06748,0.17783,0.81439,0.000814857,0.000814857,0.000814857
74,610.217,0.04819,0.05669,0.16688,0.79247,0.98625,0.99084,0.99275,0.96377,0.98625,0.99084,0.99275,0.89485,0.05615,0.06854,0.18267,0.81419,0.000812286,0.000812286,0.000812286
75,618.393,0.04806,0.05623,0.16475,0.79027,0.98059,0.99337,0.99284,0.9645,0.98059,0.99337,0.99284,0.89984,0.05432,0.06384,0.17565,0.81306,0.000809714,0.000809714,0.000809714
76,626.593,0.04742,0.05601,0.16418,0.79292,0.9802,0.99625,0.99242,0.96081,0.9802,0.99625,0.99242,0.90088,0.05482,0.06537,0.17717,0.81687,0.000807143,0.000807143,0.000807143
77,634.761,0.04819,0.05552,0.16663,0.79091,0.98589,0.98886,0.99307,0.96269,0.98589,0.98886,0.99307,0.89611,0.05323,0.0645,0.17704,0.81274,0.000804571,0.000804571,0.000804571
78,642.889,0.04808,0.05636,0.16536,0.79121,0.9844,0.99131,0.99289,0.9615,0.9844,0.99131,0.99289,0.89773,0.05504,0.06476,0.18234,0.81589,0.000802,0.000802,0.000802
79,651.062,0.04761,0.05507,0.16589,0.78964,0.98718,0.9865,0.99293,0.9642,0.98718,0.9865,0.99293,0.89411,0.05349,0.06503,0.18212,0.81474,0.000799429,0.000799429,0.000799429
80,659.223,0.04862,0.05559,0.16658,0.79371,0.97809,0.99661,0.99245,0.96512,0.97858,0.99711,0.99245,0.90206,0.05371,0.06574,0.17524,0.81203,0.000796857,0.000796857,0.000796857
81,667.378,0.04712,0.05494,0.16047,0.78887,0.98376,0.99026,0.99295,0.9638,0.98376,0.99026,0.99295,0.90182,0.05347,0.06541,0.17325,0.8147,0.000794286,0.000794286,0.000794286
82,675.595,0.04726,0.05543,0.16418,0.79409,0.97968,0.99346,0.9929,0.96405,0.97968,0.99346,0.9929,0.90439,0.05421,0.06554,0.17731,0.8175,0.000791714,0.000791714,0.000791714
83,683.746,0.0465,0.05416,0.15945,0.79182,0.97931,0.99251,0.99299,0.96255,0.97931,0.99251,0.99299,0.90727,0.05514,0.0663,0.17835,0.81733,0.000789143,0.000789143,0.000789143
