epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,1136.9,0.04386,0.05453,0.15817,0.80007,0.98775,0.98742,0.9931,0.96739,0.98775,0.98742,0.9931,0.95113,0.05115,0.07057,0.18712,0.81929,0.000876571,0.000876571,0.000876571
50,1159.79,0.04418,0.05587,0.1605,0.79847,0.98299,0.98771,0.99297,0.9663,0.98299,0.98771,0.99297,0.95176,0.05231,0.07148,0.19121,0.82482,0.000874,0.000874,0.000874
51,1182.74,0.04364,0.05413,0.16117,0.79904,0.98772,0.98531,0.99346,0.96724,0.98772,0.98531,0.99346,0.95296,0.05126,0.07098,0.18736,0.82891,0.000871429,0.000871429,0.000871429
52,1205.62,0.04365,0.05472,0.15869,0.79856,0.97512,0.99319,0.99329,0.96688,0.97512,0.99319,0.99329,0.95731,0.05185,0.06788,0.1831,0.8275,0.000868857,0.000868857,0.000868857
53,1228.56,0.04267,0.05527,0.15463,0.79556,0.98409,0.98408,0.99279,0.96563,0.98409,0.98408,0.99279,0.95508,0.0514,0.06923,0.19139,0.8253,0.000866286,0.000866286,0.000866286
54,1251.49,0.04337,0.05516,0.15487,0.7995,0.98311,0.98693,0.99293,0.9677,0.98311,0.98693,0.99293,0.9529,0.05146,0.06862,0.18488,0.8322,0.000863714,0.000863714,0.000863714
55,1274.52,0.04351,0.05492,0.15762,0.79938,0.98098,0.99271,0.99312,0.96859,0.98098,0.99271,0.99312,0.95647,0.05209,0.06789,0.18746,0.82744,0.000861143,0.000861143,0.000861143
56,1297.59,0.04258,0.05291,0.15347,0.79517,0.9846,0.98256,0.99199,0.96678,0.9846,0.98256,0.99199,0.95168,0.05003,0.06802,0.18623,0.82424,0.000858571,0.000858571,0.000858571
57,1320.55,0.04271,0.0526,0.15276,0.7953,0.9802,0.98946,0.99164,0.96518,0.9802,0.98946,0.99164,0.95084,0.05226,0.06918,0.18786,0.82603,0.000856,0.000856,0.000856
58,1343.5,0.04264,0.05441,0.1546,0.79544,0.98046,0.98903,0.99296,0.96526,0.98046,0.98903,0.99296,0.95022,0.05095,0.07064,0.18649,0.82715,0.000853429,0.000853429,0.000853429
59,1366.52,0.0417,0.05271,0.14872,0.7946,0.98256,0.99076,0.99245,0.96807,0.98256,0.99076,0.99245,0.95313,0.05076,0.06931,0.17564,0.82506,0.000850857,0.000850857,0.000850857
60,1389.5,0.04193,0.05247,0.15084,0.79491,0.97392,0.99222,0.99273,0.96579,0.97392,0.99222,0.99273,0.95142,0.04979,0.07021,0.18084,0.82804,0.000848286,0.000848286,0.000848286
61,1412.51,0.0415,0.05313,0.14883,0.79616,0.98346,0.985,0.99304,0.96554,0.98346,0.985,0.99304,0.95314,0.05137,0.0705,0.18493,0.8295,0.000845714,0.000845714,0.000845714
62,1435.43,0.04096,0.05235,0.14647,0.79471,0.98495,0.9867,0.99329,0.96661,0.98495,0.9867,0.99329,0.95683,0.05159,0.06993,0.18649,0.81886,0.000843143,0.000843143,0.000843143
63,1458.39,0.04185,0.05225,0.15027,0.79441,0.98474,0.98676,0.99385,0.96957,0.98474,0.98676,0.99385,0.95567,0.05117,0.0696,0.18576,0.81432,0.000840571,0.000840571,0.000840571
