epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,478.686,0.23813,0.27082,0.18685,0.79671,0.97595,0.98564,0.99141,0.95161,0.97574,0.98543,0.99116,0.92856,0.28774,0.34097,0.20638,0.77619,0.000682043,0.000682043,0.000682043
41,490.55,0.24186,0.27105,0.19047,0.79436,0.98074,0.9844,0.99215,0.95471,0.98031,0.98398,0.99192,0.93432,0.28134,0.33517,0.205,0.77499,0.000671044,0.000671044,0.000671044
42,502.324,0.23782,0.2685,0.19058,0.79387,0.97838,0.97983,0.99233,0.95553,0.97817,0.97962,0.99227,0.9336,0.27825,0.33713,0.20866,0.77457,0.000660045,0.000660045,0.000660045
43,514.038,0.23657,0.26982,0.18734,0.79539,0.97524,0.98872,0.99258,0.95313,0.97482,0.9883,0.99228,0.93686,0.28475,0.33919,0.20562,0.77704,0.000649046,0.000649046,0.000649046
44,525.801,0.24289,0.27208,0.18884,0.79476,0.98156,0.98141,0.99181,0.95399,0.98135,0.9812,0.99156,0.93276,0.28034,0.33761,0.20091,0.77627,0.000638047,0.000638047,0.000638047
45,537.512,0.24157,0.27166,0.18938,0.7955,0.97815,0.98284,0.99172,0.95566,0.97795,0.98265,0.99145,0.93456,0.27824,0.34586,0.20561,0.77551,0.000627048,0.000627048,0.000627048
46,549.381,0.23863,0.26241,0.18513,0.7938,0.97576,0.98588,0.99223,0.95596,0.97557,0.98569,0.99234,0.9406,0.27782,0.33975,0.19897,0.7768,0.000616049,0.000616049,0.000616049
47,561.168,0.23017,0.25845,0.18019,0.7936,0.97571,0.98808,0.992,0.95592,0.9755,0.98787,0.99179,0.93933,0.27964,0.33243,0.20011,0.77523,0.000605051,0.000605051,0.000605051
48,572.959,0.22328,0.26441,0.17747,0.79111,0.98041,0.98091,0.99186,0.95651,0.9802,0.9807,0.9917,0.94218,0.2772,0.32977,0.20374,0.77654,0.000594052,0.000594052,0.000594052
49,584.811,0.22375,0.26513,0.1757,0.79572,0.98104,0.97965,0.99145,0.95576,0.98082,0.97944,0.99122,0.93526,0.27715,0.32546,0.205,0.7746,0.000583053,0.000583053,0.000583053
