epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1020.12,0.16296,0.20192,0.12634,0.78196,0.97305,0.98701,0.99164,0.95756,0.97263,0.98658,0.99122,0.92671,0.27464,0.42783,0.18085,0.77356,0.000176094,0.000176094,0.000176094
87,1031.86,0.16195,0.19957,0.125,0.78388,0.9783,0.98206,0.99206,0.95544,0.97767,0.98142,0.99154,0.92666,0.28379,0.44364,0.18436,0.77328,0.000165095,0.000165095,0.000165095
88,1043.64,0.16213,0.1954,0.12458,0.78208,0.97872,0.9813,0.9917,0.95525,0.97806,0.98064,0.99141,0.92539,0.28,0.44524,0.18506,0.7748,0.000154096,0.000154096,0.000154096
89,1055.4,0.16424,0.19744,0.12306,0.78314,0.97633,0.98513,0.99199,0.95567,0.97591,0.9847,0.99166,0.92592,0.28251,0.45061,0.18384,0.77375,0.000143097,0.000143097,0.000143097
90,1067.23,0.1674,0.1947,0.12301,0.78211,0.97254,0.98911,0.99103,0.9561,0.97213,0.98868,0.99067,0.92424,0.27977,0.42747,0.18314,0.77374,0.000132098,0.000132098,0.000132098
91,1105.48,0.16418,0.19331,0.12409,0.7793,0.97793,0.98498,0.9903,0.95321,0.97727,0.98432,0.98989,0.92151,0.28763,0.43567,0.18594,0.77416,0.000121099,0.000121099,0.000121099
92,1117.21,0.16035,0.19123,0.12124,0.78204,0.97388,0.9876,0.99057,0.95422,0.97346,0.98717,0.99023,0.91989,0.28152,0.42504,0.1844,0.77352,0.0001101,0.0001101,0.0001101
93,1128.96,0.15598,0.19137,0.11813,0.78043,0.96903,0.99179,0.98935,0.95491,0.96861,0.99136,0.98894,0.92137,0.27335,0.43346,0.18074,0.77344,9.91012e-05,9.91012e-05,9.91012e-05
94,1140.77,0.15207,0.19039,0.11631,0.77824,0.97403,0.98678,0.98984,0.95416,0.97382,0.98656,0.98959,0.91823,0.28217,0.43154,0.18414,0.77399,8.81023e-05,8.81023e-05,8.81023e-05
95,1152.5,0.14783,0.18508,0.11226,0.77829,0.97376,0.98743,0.99047,0.9532,0.9729,0.98656,0.99002,0.91391,0.28264,0.44954,0.18243,0.77421,7.71034e-05,7.71034e-05,7.71034e-05
96,1164.22,0.14331,0.18661,0.11025,0.77903,0.97893,0.98404,0.99111,0.95501,0.97828,0.9834,0.99067,0.9181,0.2762,0.44486,0.17879,0.77369,6.61045e-05,6.61045e-05,6.61045e-05
97,1175.9,0.14246,0.18602,0.11048,0.77734,0.97474,0.98805,0.99058,0.95605,0.97409,0.98745,0.99015,0.92243,0.27058,0.4271,0.17879,0.77331,5.51056e-05,5.51056e-05,5.51056e-05
98,1187.63,0.13863,0.18163,0.10714,0.77903,0.97513,0.98483,0.9905,0.95696,0.97449,0.98419,0.99009,0.92338,0.26899,0.42766,0.17776,0.77343,4.41067e-05,4.41067e-05,4.41067e-05
99,1199.4,0.13964,0.18398,0.10673,0.7801,0.96914,0.99052,0.99045,0.95669,0.96872,0.99009,0.99007,0.92229,0.26749,0.43781,0.17787,0.77335,3.31078e-05,3.31078e-05,3.31078e-05
100,1211.14,0.13625,0.18066,0.10611,0.78157,0.97575,0.98551,0.99084,0.95769,0.97532,0.98509,0.9905,0.92304,0.26818,0.4329,0.17661,0.77346,2.21089e-05,2.21089e-05,2.21089e-05
